"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2010","2010",79.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2011","2011",79.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2012","2012",79.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2013","2013",80.1,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2014","2014",80.3,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2015","2015",80.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2016","2016",80.4,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2017","2017",80.5,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2018","2018",80.7,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2019","2019",80.9,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2020","2020",81.2,,
"EVIEHO00","Males at birth","EVIDUREV","Years","AUS","Australia","2021","2021",81.3,,